training_id,provider_id,carrier_id,assigned_date,completed_date,status
TRN-000001,PRV-0001,CAR-001,2026-02-25,2026-03-02,completed
TRN-000002,PRV-0001,CAR-010,2026-06-11,2026-06-30,completed
TRN-000003,PRV-0001,CAR-002,2025-11-22,,not_required
TRN-000004,PRV-0002,CAR-008,2026-01-09,2026-01-24,completed
TRN-000005,PRV-0003,CAR-004,2025-12-31,,pending
TRN-000006,PRV-0004,CAR-008,2026-01-12,2026-01-15,completed
TRN-000007,PRV-0005,CAR-004,2026-03-11,2026-03-24,completed
TRN-000008,PRV-0006,CAR-009,2026-08-14,2026-08-17,completed
TRN-000009,PRV-0007,CAR-008,2025-11-07,2025-11-16,completed
TRN-000010,PRV-0007,CAR-003,2026-04-24,2026-05-17,completed
TRN-000011,PRV-0007,CAR-009,2026-06-23,,pending
TRN-000012,PRV-0007,CAR-001,2026-04-13,,pending
TRN-000013,PRV-0008,CAR-008,2026-06-27,2026-07-03,completed
TRN-000014,PRV-0009,CAR-008,2026-05-22,,pending
TRN-000015,PRV-0010,CAR-005,2025-09-20,2025-09-25,completed
TRN-000016,PRV-0010,CAR-010,2026-01-02,,pending
TRN-000017,PRV-0010,CAR-004,2026-03-07,,pending
TRN-000018,PRV-0010,CAR-008,2025-09-06,2025-09-11,completed
TRN-000019,PRV-0011,CAR-006,2025-08-20,2025-09-02,completed
TRN-000020,PRV-0011,CAR-003,2025-10-18,2025-10-29,completed
TRN-000021,PRV-0012,CAR-004,2026-02-15,,pending
TRN-000022,PRV-0012,CAR-005,2026-01-22,2026-02-15,completed
TRN-000023,PRV-0013,CAR-010,2026-05-31,2026-06-24,completed
TRN-000024,PRV-0014,CAR-008,2026-03-12,2026-04-03,completed
TRN-000025,PRV-0014,CAR-003,2026-06-27,2026-07-18,completed
TRN-000026,PRV-0014,CAR-007,2025-09-20,,pending
TRN-000027,PRV-0014,CAR-005,2026-02-26,2026-03-06,completed
TRN-000028,PRV-0015,CAR-008,2025-09-01,2025-09-16,completed
TRN-000029,PRV-0015,CAR-007,2025-11-02,,pending
TRN-000030,PRV-0016,CAR-009,2026-06-30,2026-07-12,completed
TRN-000031,PRV-0016,CAR-001,2026-07-07,,pending
TRN-000032,PRV-0016,CAR-003,2026-02-07,2026-02-25,completed
TRN-000033,PRV-0017,CAR-002,2025-09-03,2025-09-07,completed
TRN-000034,PRV-0017,CAR-007,2025-09-13,,pending
TRN-000035,PRV-0017,CAR-001,2026-07-21,2026-08-08,completed
TRN-000036,PRV-0018,CAR-003,2026-07-12,,pending
TRN-000037,PRV-0019,CAR-005,2026-03-11,2026-03-25,completed
TRN-000038,PRV-0019,CAR-009,2025-08-29,,pending
TRN-000039,PRV-0019,CAR-007,2026-07-22,,not_required
TRN-000040,PRV-0019,CAR-003,2025-12-10,2025-12-24,completed
TRN-000041,PRV-0020,CAR-004,2026-08-03,2026-08-05,completed
TRN-000042,PRV-0020,CAR-008,2026-03-19,,not_required
TRN-000043,PRV-0021,CAR-005,2026-05-19,2026-06-12,completed
TRN-000044,PRV-0021,CAR-008,2026-05-04,2026-05-26,completed
TRN-000045,PRV-0021,CAR-010,2026-01-09,,pending
TRN-000046,PRV-0022,CAR-010,2025-09-14,2025-09-16,completed
TRN-000047,PRV-0023,CAR-005,2025-10-15,2025-10-17,completed
TRN-000048,PRV-0023,CAR-003,2025-11-13,2025-12-07,completed
